food_code,name,category,data_source,water_g,energy_kcal,protein_g,fat_total_g,carbs_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_c_mg,edible_portion_pct,dash_score,dash_category,region,meal_type,fat_saturated_g,magnesium_mg,is_estimated,reference,image_url,is_dish
AR001,"Beras giling, mentah",Serealia,KZGMI-2001,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,27.0,71.0,0.1,0.5,0.0,0.0,0.0,0.2,0.08,2.6,0.0,100.0,50.6,Cukup,Indonesia,,0.0,0.0,False,,https://images.pexels.com/photos/4187621/pexels-photo-4187621.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,False
AR002,"Beras giling var pelita, mentah",Serealia,KZGPI- 1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68.0,171.0,1.4,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,100.0,44.6,Cukup,Indonesia,,0.0,0.0,False,,https://rottebakery.com/wp-content/uploads/2022/06/white-rice-flour-small-bowl-with-rice-plant.jpg,False
AR003,"Beras giling var rojolele, mentah",Serealia,KZGPI- 1990,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,34.0,112.9,0.14,0.1,,0.0,80.0,0.2,0.02,1.5,0.0,100.0,51.5,Cukup,Indonesia,,0.0,0.0,False,,https://s0.bukalapak.com/img/06431812631/large/BERAS_ROJOLELE_25KG.png,False
AR004,"Beras hitam, mentah",Serealia,KZGMI-2001,12.9,351,8.0,1.3,76.9,20.1,0.9,6.0,198.0,0.1,15.0,105.0,0.1,1.6,0.0,0.0,0.0,0.21,0.06,0.0,0.0,100.0,57.7,Cukup,Indonesia,,0.0,0.0,False,,https://statik.tempo.co/data/2022/01/25/id_1083329/1083329_720.jpg,False
AR005,"Beras jagung kuning, kering, mentah",Serealia,KZGMI-2001,10.8,358,5.5,0.1,82.7,10.0,0.9,20.0,90.0,1.4,1.0,80.0,0.1,4.1,,641.0,,0.12,0.08,1.0,3.0,100.0,54.8,Cukup,Indonesia,,0.0,0.0,False,,https://thumbs.vdvc.id/olret/images/original/2022/07/21/62d900a97984b-manfaat-tepung-jagung_olret.jpg,False
AR006,"Beras jagung putih, kering, mentah",Serealia,KZGMI-2001,22.5,307,4.8,0.1,71.8,10.0,0.8,17.0,78.0,1.2,1.0,70.0,0.1,3.5,,301.0,,0.15,0.07,0.9,0.0,100.0,54.4,Cukup,Indonesia,,0.0,0.0,False,,https://awsimages.detik.net.id/community/media/visual/2016/05/06/8a8ccd2e-6879-4e3a-9082-e632e117354c.jpg?w=852,False
AR007,"Beras ketan hitam tumbuk, mentah",Serealia,KZGPI- 1990,13.7,360,8.0,2.3,74.5,1.0,1.5,10.0,347.0,6.2,11.0,288.0,0.28,2.2,0.0,0.0,0.0,0.24,0.1,2.0,0.0,100.0,48.1,Cukup,Indonesia,,0.0,0.0,False,,https://ceklist.id/wp-content/uploads/2021/08/Tepung-Ketan-Hitam-Terbaik.jpg,False
AR008,"Beras ketan putih tumbuk, mentah",Serealia,KZGPI- 1990,12.9,361,7.4,0.8,78.4,0.4,0.5,13.0,157.0,3.4,3.0,282.0,0.28,2.2,0.0,0.0,0.0,0.28,0.0,1.4,0.0,100.0,47.5,Cukup,Indonesia,,0.0,0.0,False,,https://www.melatiputrajaya.com/wp-content/uploads/2021/02/Tepung-Beras-Ketan-sumber-Bola-Keluarga.jpg,False
AR009,"Beras ladang, mentah",Serealia,KZGMI-2001,9.8,376,7.5,3.8,78.0,5.9,0.9,20.0,110.0,0.8,10.0,70.0,0.1,1.4,0.0,0.0,,0.2,0.2,5.1,0.0,100.0,49.7,Cukup,Indonesia,,0.0,0.0,False,,https://cf.shopee.co.id/file/7ba3bd8d1b35213b450210a2d8a7bebe,False
AR010,"Beras menir, mentah",Serealia,DABM-1964,12.0,362,7.7,4.4,73.0,0.2,0.2,22.0,272.0,3.7,90.0,201.0,0.1,0.5,0.0,0.0,,0.55,0.0,1.9,0.0,100.0,46.0,Cukup,Indonesia,,0.0,0.0,False,,https://s1.bukalapak.com/img/11085064122/large/Beras_Menir_Kiloan.jpg,False
