KODE,NAMA_BAHAN,KATEGORI,SUMBER,AIR_g,ENERGI_kal,PROTEIN_g,LEMAK_g,KH_g,SERAT_g,ABU_g,KALSIUM_mg,FOSFOR_mg,BESI_mg,NATRIUM_mg,KALIUM_mg,TEMBAGA_mg,SENG_mg,RETINOL_mcg,BKAROTEN_mcg,KARTOTAL_mcg,THIAMIN_mg,RIBOFLAVIN_mg,NIASIN_mg,VIT_C_mg,BDD_pct
AR001,"Beras giling, mentah",Serealia,KZGMI-2001,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,100
AR002,"Beras giling var pelita, mentah",Serealia,KZGPI- 1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,0.0,0.00,0.0,0,0,0,0.26,0.00,0.0,0,100
AR003,"Beras giling var rojolele, mentah",Serealia,KZGPI- 1990,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,,0,80,0.20,0.02,1.5,0,100
AR004,"Beras hitam, mentah",Serealia,KZGMI-2001,12.9,351,8.0,1.3,76.9,20.1,0.9,6,198,0.1,15,105.0,0.10,1.6,0,0,0,0.21,0.06,0.0,0,100
AR005,"Beras jagung kuning, kering, mentah",Serealia,KZGMI-2001,10.8,358,5.5,0.1,82.7,10.0,0.9,20,90,1.4,1,80.0,0.10,4.1,,641,,0.12,0.08,1.0,3,100
AR006,"Beras jagung putih, kering, mentah",Serealia,KZGMI-2001,22.5,307,4.8,0.1,71.8,10.0,0.8,17,78,1.2,1,70.0,0.10,3.5,,301,,0.15,0.07,0.9,0,100
AR007,"Beras ketan hitam tumbuk, mentah",Serealia,KZGPI- 1990,13.7,360,8.0,2.3,74.5,1.0,1.5,10,347,6.2,11,288.0,0.28,2.2,0,0,0,0.24,0.10,2.0,0,100
AR008,"Beras ketan putih tumbuk, mentah",Serealia,KZGPI- 1990,12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282.0,0.28,2.2,0,0,0,0.28,0.00,1.4,0,100
AR009,"Beras ladang, mentah",Serealia,KZGMI-2001,9.8,376,7.5,3.8,78.0,5.9,0.9,20,110,0.8,10,70.0,0.10,1.4,0,0,,0.20,0.20,5.1,0,100
AR010,"Beras menir, mentah",Serealia,DABM-1964,12.0,362,7.7,4.4,73.0,0.2,0.2,22,272,3.7,90,201.0,0.10,0.5,0,0,,0.55,0.00,1.9,0,100
AR011,Beras parboiled,Serealia,DABM-1964,10.0,353,6.8,0.6,80.0,0.5,2.5,5,142,0.8,2,46.0,0.28,1.0,0,0,,0.22,0.11,3.4,0,100
AR012,"Beras tumbuk, mentah",Serealia,KZGMI-2001,11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85.0,0.50,1.5,0,0,,0.25,0.22,5.1,0,100
AR013,"Beras tumbuk merah, mentah",Serealia,KZGPI- 1990,14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10,202.0,0.36,1.9,0,0,0,0.34,0.00,3.3,0,100
AR014,"Cantel, mentah",Serealia,DABM-1964,11.0,366,11.0,3.3,73.0,1.2,1.7,28,287,4.4,7,249.0,,,0,0,,0.09,0.14,2.8,0,100
AR015,"Jagung muda, kuning, mentah",Serealia,KZGPI- 1990,61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.9,0,113,261,0.24,0.10,0.8,9,100
AR016,"Jagung kuning pipil, kering, mentah",Serealia,KZGPI- 1990,11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.10,4.1,,636,641,0.12,0.12,1.8,3,100
