NAMA_BAHAN,DAERAH,TOTAL_BERAT_g,ENERGI_kal,PROTEIN_g,LEMAK_g,KH_g,SERAT_g,KALSIUM_mg,NATRIUM_mg,KALIUM_mg,STATUS_DATA,MAGNESIUM_mg_USDA,LEMAK_JENUH_g_USDA
Papeda,Papua,100,61.0,0.2,0.1,14.9,0.5,0.1,0.2,,Tersedia di TKPI,3.0,0.0
"Gudeg, sayur",Jawa,100,160.0,3.3,9.2,16.0,2.3,2.1,12.8,,Tersedia di TKPI,18.0,1.5
"Karedok, sayur",Sunda,100,92.0,2.2,3.3,14.1,1.4,1.4,2.4,,Tersedia di TKPI,28.0,0.8
"Coto mangkasara, sapi, masakan",Bugis,100,84.0,,1.4,0.7,,4.0,0.3,,Tersedia di TKPI,19.0,3.5
"Rawon, masakan",Jawa,100,60.0,,4.0,2.1,,3.3,,,Tersedia di TKPI,20.0,4.2
"Rendang sapi, masakan",Minang,100,193.0,,7.8,3.8,,14.9,,,Tersedia di TKPI,23.0,6.8
"Soto kudus, masakan",Jawa,100,38.0,2.6,2.3,1.8,0.2,,1.7,,Tersedia di TKPI,12.0,1.1
"Soto padang, masakan",Minang,100,127.0,5.9,6.6,11.0,0.7,,1.5,,Tersedia di TKPI,14.0,2.1
Arsik Ikan Mas,Batak,180,180.3,30.81,2.25,7.74,0.63,8.7,4.5,222.0,Estimasi Komposisi Resep,29.0,1.1
Gulai Tambusu,Minang,190,309.0,35.75,15.6,4.95,0.0,0.0,5.35,0.0,Estimasi Komposisi Resep,16.0,7.2
Ikan Kuah Kuning,Papua,170,174.0,16.8,1.8,15.3,0.0,0.0,5.1,540.0,Estimasi Komposisi Resep,32.0,0.9
Kapurung,Bugis,120,215.5,6.45,2.15,43.05,0.0,121.9,0.39,12.1,Estimasi Komposisi Resep,15.0,0.4
Sate Padang,Minang,120,375.15,1.11,0.12,12.86,0.06,3.75,0.66,43.5,Estimasi Komposisi Resep,22.0,4.5
Sayur Asem Sunda,Sunda,100,46.0,2.6,1.05,7.65,2.75,64.5,0.0,25.0,Estimasi Komposisi Resep,21.0,0.3
Tahu Tek,Jawa,225,859.0,32.8,33.525,106.6,12.625,101.0,3.45,70.0,Estimasi Komposisi Resep,35.0,1.2
